127.0.0.1, 2015-10-26 21:39:03, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-39-01.6a2b2fcc-a2ad-4aef-9127-49d245862a67, HTTP/1.1, 200, 0.086144
127.0.0.1, 2015-10-26 21:39:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000378
127.0.0.1, 2015-10-26 21:39:49, GET, /, HTTP/1.1, 500, 0.039848
127.0.0.1, 2015-10-26 21:39:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000316
127.0.0.1, 2015-10-26 21:39:51, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-39-49.e6123585-d3e8-4adf-a174-7d9c84ab9d68, HTTP/1.1, 200, 0.061234
127.0.0.1, 2015-10-26 21:39:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000271
127.0.0.1, 2015-10-26 21:40:14, GET, /, HTTP/1.1, 500, 0.081285
127.0.0.1, 2015-10-26 21:40:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000285
127.0.0.1, 2015-10-26 21:40:15, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-40-14.8f4b2446-ea05-41e2-a119-6b437298ea62, HTTP/1.1, 200, 0.100759
127.0.0.1, 2015-10-26 21:40:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000205
127.0.0.1, 2015-10-26 21:41:03, GET, /, HTTP/1.1, 500, 0.048712
127.0.0.1, 2015-10-26 21:41:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000329
127.0.0.1, 2015-10-26 21:41:05, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-41-03.2f00963c-4a0c-45c3-82e9-3f48d297c9ec, HTTP/1.1, 200, 0.056480
127.0.0.1, 2015-10-26 21:41:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000280
127.0.0.1, 2015-10-26 21:41:15, GET, /, HTTP/1.1, 500, 0.053351
127.0.0.1, 2015-10-26 21:41:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000346
127.0.0.1, 2015-10-26 21:41:16, GET, /, HTTP/1.1, 500, 0.052581
127.0.0.1, 2015-10-26 21:41:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000336
127.0.0.1, 2015-10-26 21:41:16, GET, /, HTTP/1.1, 500, 0.041216
127.0.0.1, 2015-10-26 21:41:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000225
127.0.0.1, 2015-10-26 21:41:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000567
